provider_name,scheme_name,account_type,option_name,option_type,management_fee_pct,indirect_cost_ratio,performance_fee,transactional_cost,risk_label,risk_band,performance_1yr,performance_3yr,performance_5yr,performance_10yr,asset_allocation_json,source_url,scraped_at
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Premium Conservative 30 Portfolio,Multi Sector Conservative,0.318,0.53,0.008,0.021,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Premium Growth 85 Portfolio,Multi Sector Growth,0.318,0.759,0.062,0.06,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Premium High Growth 98 Portfolio,Multi Sector High Growth,0.318,0.784,0.081,0.069,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Premium Moderate 50 Portfolio,Multi Sector Moderately Conservative,0.318,0.609,0.019,0.028,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Value Balanced 70 Portfolio,Multi Sector Balanced,0.267,0.452,0.008,0.024,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Value Conservative 30 Portfolio,Multi Sector Conservative,0.267,0.455,0.008,0.018,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Value Growth 85 Portfolio,Multi Sector Growth,0.267,0.467,0.026,0.033,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Value High Growth 98 Portfolio,Multi Sector High Growth,0.267,0.473,0.036,0.031,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Value Moderate 50 Portfolio,Multi Sector Moderately Conservative,0.267,0.461,0.01,0.017,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Morningstar Aggressive Portfolio,Multi Sector Growth,0.6,0.124,0.007,0.048,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
